"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
252,44,34.6544,9.77179,2.17343,26463.30077,829.56699,125.33483,0.14255
253,44,40.74931,24.85177,1.21134,47224.8202,923.96807,146.47434,0.02999
254,44,49.25098,26.34606,1.25983,33535.20639,827.93507,144.74578,0.0446
255,45,5.64015,14.85117,2.26088,19996.34,758.1907,106.46793,0.17898
256,45,15.88512,51.79682,4.26938,83614.1785,638.22078,130.23737,0.17698
257,45,17.60401,42.44676,1.83488,70683.15069,1293.76446,406.68787,0.10725
258,45,25.45351,27.8843,1.16455,43403.80001,1033.83509,211.22875,0.04081
259,45,28.95791,20.57302,1.31034,39442.97391,987.59711,166.13361,0.04574
260,45,48.26333,26.15997,1.3495,62116.58347,845.69678,181.15489,0.03325
261,46,15.38455,52.10519,2.8081,39728.76498,982.7066,131.26852,0.16322
262,46,19.27076,38.67058,1.65442,65454.39204,1069.53199,335.04373,0.07932
263,46,28.93382,20.57102,1.32541,41198.76441,902.19292,133.68593,0.03767
264,46,34.69659,12.63793,1.65806,10119.34052,849.0924,126.39509,0.22055
265,46,46.8905,26.13483,1.88483,6695.60602,685.76538,86.35209,0.31821
266,47,14.65279,54.56864,6.85939,412699.67407,96.82058,144.84268,0.10108
267,47,16.15251,46.27461,1.30051,47483.85265,1005.90237,220.96769,0.04769
268,47,19.65592,38.27161,1.40193,8013.7973,773.21698,90.63162,0.15601
269,47,28.91851,20.66609,1.35422,41999.4651,957.63088,198.56847,0.05305
270,47,34.63507,10.21382,2.7335,25959.03174,772.0935,123.14804,0.22457
271,47,55.54442,28.7787,1.37643,23911.54631,795.0355,106.41386,0.0578
272,48,14.07746,56.67165,6.38227,212572.41611,538.83786,147.16001,0.17149
273,48,16.17154,46.28727,1.33337,48740.20028,947.50838,194.21575,0.04367
274,48,25.00641,28.70904,1.11526,15249.29461,844.16931,118.20334,0.0658
275,48,28.90781,20.52811,1.40289,41880.96191,895.58741,122.69221,0.03859
276,48,34.70059,10.03892,1.88387,13979.20976,845.97926,100.49895,0.17129
277,48,38.4573,24.7137,1.17385,22430.30713,805.80116,114.64608,0.0484
278,48,48.62786,26.31357,1.15404,9779.08944,756.1473,88.77609,0.08758
279,49,15.24438,50.13884,2.32386,20137.94002,962.25888,157.94209,0.25747
280,49,16.15595,46.23513,1.30751,46578.73368,973.27967,196.63413,0.04448
281,49,25.11799,28.49884,1.27813,52486.67312,960.45407,265.34421,0.04901
282,49,29.21095,20.26831,1.44707,17694.65887,910.52466,183.24714,0.13234
283,49,38.46796,24.56098,1.23509,20660.22778,793.14209,93.67745,0.04963
284,49,50.8349,26.75392,1.23295,35974.84351,789.91763,112.10149,0.03292
285,50,15.68612,48.5231,2.54462,62338.52612,763.64367,458.45636,0.25797
286,50,16.26499,46.31057,1.30768,34390.98577,982.40147,366.03778,0.10396
287,50,26.80776,23.65942,1.30428,22864.02953,791.93902,107.23561,0.05492
288,50,50.87196,26.76896,1.23794,39873.21955,1068.77042,367.43992,0.08117
289,50,56.20127,29.23868,1.24203,21748.09229,1094.52624,590.56355,0.23287
290,51,16.19762,46.12494,1.32306,17741.39705,738.04329,103.37099,0.07037
291,51,26.76692,23.79403,1.3946,22196.54779,878.43742,132.81943,0.07562
292,51,27.83293,31.64638,1.40508,33588.33948,852.91768,125.11908,0.04872
293,51,35.90097,7.62618,2.02728,7282.93016,768.0849,83.44028,0.32893
294,51,38.57063,24.48523,1.24499,25263.67153,870.56927,108.20649,0.046
295,51,48.42651,26.25819,2.15458,93901.88862,793.94207,606.54118,0.16086
296,51,56.38436,29.19263,1.31158,30497.94966,1097.69399,459.17028,0.14537
297,52,14.79494,56.08185,1.20551,19912.49184,775.24215,123.06801,0.06031
298,52,16.12585,46.20377,1.25724,45532.00914,819.20681,133.10158,0.0309
299,52,24.93666,30.87081,2.91641,87137.69908,661.28453,321.72029,0.17428
300,52,32.13346,18.16163,1.18774,11525.0091,887.57142,162.63387,0.12607
301,52,38.52495,24.56737,1.27309,48216.66494,899.28065,138.7093,0.03088
302,52,50.42714,26.58842,2.33061,24009.33623,841.38774,199.42067,0.26494
303,52,57.24607,29.05271,1.37433,46137.7988,878.06691,156.01386,0.04076
304,53,5.06768,15.14344,2.50567,13310.78079,730.00989,109.89599,0.33641
305,53,15.11234,51.31531,1.37769,23626.75234,878.45056,225.31358,0.108
306,53,15.68769,47.97295,2.43599,35412.83759,710.6882,254.7028,0.24312
307,53,24.45882,29.59246,2.4528,105874.4185,730.89251,710.50815,0.2141
308,53,24.47179,29.56602,2.41641,104385.08099,724.16534,710.98891,0.21099
309,53,34.8096,9.92777,2.37239,20753.16427,749.281,106.73873,0.1899
310,53,38.58981,24.54334,1.24196,50275.83887,852.71057,143.53754,0.02909
311,53,57.52477,29.02996,1.25244,36301.76077,775.16819,125.911,0.03664
312,54,4.7717,13.38195,2.86728,55977.71826,814.13642,223.65358,0.18932
313,54,14.85426,51.3877,1.2606,45025.97555,797.34185,131.33583,0.03107
314,54,25.4449,27.91944,1.25789,48995.14842,894.11893,158.68033,0.03304
315,54,32.83288,17.94174,1.33489,25579.93929,998.00324,186.3347,0.07987
316,54,38.46343,24.56601,1.24079,42927.86173,1302.09635,535.57977,0.10749
317,54,38.44065,24.59588,1.27537,45031.62662,1252.46526,506.4575,0.10244
